C3,C2,C2
C10,C7,C4
C10,C6,C4
C10,C9,C4
C10,C5,C4
C10,C8,C4
C7,C6,C4
C7,C9,C4
C7,C5,C4
C7,C8,C4
C6,C9,C4
C6,C5,C4
C6,C8,C4
C9,C5,C4
C9,C8,C4
C5,C8,C4
C15,C13,C11
C15,C14,C11
C15,C9,C11
C15,C16,C11
C15,C12,C11
C13,C14,C11
C13,C9,C11
C13,C16,C11
C13,C12,C11
C14,C9,C11
C14,C16,C11
C14,C12,C11
C9,C16,C11
C9,C12,C11
C16,C12,C11
C20,C18,C17
C20,C19,C17
C20,C14,C17
C20,C1,C17
C20,C7,C17
C20,C21,C17
C18,C19,C17
C18,C14,C17
C18,C1,C17
C18,C7,C17
C18,C21,C17
C19,C14,C17
C19,C1,C17
C19,C7,C17
C19,C21,C17
C14,C1,C17
C14,C7,C17
C14,C21,C17
C1,C7,C17
C1,C21,C17
C7,C21,C17
C11,C29,top
C11,C22,top
C11,C2,top
C11,C28,top
C11,C27,top
C11,C30,top
C11,C25,top
C11,C23,top
C11,C4,top
C11,C17,top
C29,C22,top
C29,C2,top
C29,C28,top
C29,C27,top
C29,C30,top
C29,C25,top
C29,C23,top
C29,C4,top
C29,C17,top
C22,C2,top
C22,C28,top
C22,C27,top
C22,C30,top
C22,C25,top
C22,C23,top
C22,C4,top
C22,C17,top
C2,C28,top
C2,C27,top
C2,C30,top
C2,C25,top
C2,C23,top
C2,C4,top
C2,C17,top
C28,C27,top
C28,C30,top
C28,C25,top
C28,C23,top
C28,C4,top
C28,C17,top
C27,C30,top
C27,C25,top
C27,C23,top
C27,C4,top
C27,C17,top
C30,C25,top
C30,C23,top
C30,C4,top
C30,C17,top
C25,C23,top
C25,C4,top
C25,C17,top
C23,C4,top
C23,C17,top
C4,C17,top
C18,C10,C23
C26,C19,C27
C26,C12,C27
C19,C12,C27
C26,C6,C28
C26,C21,C28
C26,C13,C28
C6,C21,C28
C6,C13,C28
C21,C13,C28
C20,C15,C29
C20,C24,C29
C20,C5,C29
C20,C3,C29
C15,C24,C29
C15,C5,C29
C15,C3,C29
C24,C5,C29
C24,C3,C29
C5,C3,C29
C1,C16,C30
C1,C24,C30
C1,C8,C30
C16,C24,C30
C16,C8,C30
C24,C8,C30
